"X.1","X","MatchURL","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Href","Player_Num","Nation","First_pos_fbref","Other_pos_fbref","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons","Competition_Name","Gender","Country","Tier","Season_End_Year","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Tkl.Int","Clr","Err","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","TotDist_Carries","PrgDist_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels","fotmob_position_short","fotmob_position","fotmob_rating","sofa_position","sofa_rating","ws_position","ws_rating"
11,11,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","ansgar knauff","/en/players/19a967ab/Ansgar-Knauff",36,"GER","RB","WB","20-207",90,0,0,0,0,3,1,0,0,69,4,0,0,0.2,0.2,0.1,2,0,25,51,49,0,34,5,5,2,"Fußball-Bundesliga","M","GER","1st",2023,25,51,49,385,133,12,16,75,10,19,52.6,2,10,20,0.1,0.1,1,1,1,1,0,51,44,7,0,0,0,4,7,0,0,0,0,25,0,2,4,2,3,1,0,1,2,50,1,0,0,0,4,3,0,69,1,25,16,29,4,69,40,2,40,282,181,1,2,4,0,45,5,0,1,0,0,4,2,0,0,0,2,0,0,0,"RM","Midfielder",7.2,"F",6.4,"DMR",6.25
12,12,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","obite ndicka","/en/players/441197b8/Obite-NDicka",2,"CIV","CB",NA,"22-350",90,0,0,0,0,0,0,1,0,51,0,2,3,0,0,0,0,0,35,38,92.1,1,23,1,0,0,"Fußball-Bundesliga","M","GER","1st",2023,35,38,92.1,648,204,12,12,100,22,22,100,1,2,50,0,0,0,2,0,0,1,38,34,4,4,0,1,0,0,0,0,0,0,35,0,2,0,0,0,0,0,0,1,0,1,3,3,0,2,6,0,51,7,33,18,0,0,51,0,0,0,128,74,0,0,0,0,26,0,0,2,1,0,0,0,0,0,0,6,1,0,100,"CB","Defender",4.7,NA,NA,"DC",5.68
13,13,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","tuta","/en/players/35d64857/Tuta",35,"BRA","CB",NA,"23-032",81,0,0,0,0,1,0,0,0,47,0,3,2,0.1,0.1,0,1,0,32,36,88.9,2,24,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,32,36,88.9,644,291,7,7,100,22,22,100,3,7,42.9,0,0,0,1,0,0,2,36,36,0,0,0,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,1,2,2,0,3,3,0,47,13,34,12,1,1,47,0,0,0,118,60,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,10,1,0,100,"CB","Defender",5.44,"D",6.4,"DC",6.24
14,14,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","makoto hasebe","/en/players/9ab16552/Makoto-Hasebe",20,"JPN","CB",NA,"38-199",9,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,2,4,50,0,5,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,2,4,50,48,31,0,0,0,2,3,66.7,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,7,3,7,0,0,0,7,0,0,0,26,7,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,100,"","Substitute",NA,"D",6.3,"Sub",6.16
15,15,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","almamy toure","/en/players/c8c60119/Almamy-Toure",18,"MLI","CB",NA,"26-099",90,0,0,0,0,0,0,0,0,56,1,3,3,0,0,0,1,0,34,47,72.3,2,27,0,2,2,"Fußball-Bundesliga","M","GER","1st",2023,34,47,72.3,620,209,10,13,76.9,20,25,80,3,6,50,0,0,0,5,0,0,2,47,45,2,1,0,0,0,1,0,0,0,0,34,0,2,1,1,1,0,0,1,3,33.3,2,3,2,1,4,1,0,56,4,31,21,4,1,56,100,0,0,141,62,1,1,1,0,37,3,0,0,0,1,0,1,0,0,0,8,1,0,100,"CB","Defender",5.57,"D",6.1,"DC",5.78
16,16,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","kevin trapp","/en/players/ce17b5eb/Kevin-Trapp",1,"GER","GK",NA,"32-028",90,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,23,31,74.2,0,12,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,23,31,74.2,648,460,5,5,100,9,9,100,9,16,56.3,0,0,0,0,0,0,0,31,18,12,3,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,33,0,0,0,33,0,0,0,70,40,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GK","Keeper",4.82,"G",5.7,"GK",5.45
17,17,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","serge gnabry","/en/players/88e357ef/Serge-Gnabry",7,"GER","FW",NA,"27-022",64,1,1,0,0,3,1,0,0,39,1,0,1,0.2,0.2,1.1,6,2,25,30,83.3,2,32,3,0,0,"Fußball-Bundesliga","M","GER","1st",2023,25,30,83.3,341,79,16,18,88.9,8,8,100,1,3,33.3,1.1,0.8,3,1,0,0,2,30,30,0,0,0,0,0,0,0,0,0,0,25,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,39,0,3,19,17,5,39,0,0,0,149,74,3,3,1,2,33,5,0,0,1,1,0,1,0,0,0,4,0,0,0,"CF","Attacker",8.51,"M",8.3,"FW",8.73
18,18,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","mathys tel","/en/players/829aa60c/Mathys-Tel",39,"FRA","FW",NA,"17-100",26,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.1,2,0,9,11,81.8,0,8,0,1,0,"Fußball-Bundesliga","M","GER","1st",2023,9,11,81.8,121,14,6,7,85.7,3,3,100,0,0,0,0.1,0,2,1,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,8,1,12,0,0,0,56,6,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Substitute",6.33,"F",6.7,"Sub",6.21
19,19,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","sadio mane","/en/players/c691bfe2/Sadio-Mane",17,"SEN","FW",NA,"30-117",90,1,0,0,0,5,2,0,0,37,0,0,1,0.9,0.9,0.1,5,1,19,24,79.2,3,20,3,3,1,"Fußball-Bundesliga","M","GER","1st",2023,19,24,79.2,306,89,12,15,80,5,5,100,2,3,66.7,0.1,0.2,1,2,2,0,3,24,22,2,0,0,1,1,0,0,0,0,0,19,0,1,0,0,0,0,0,0,3,0,3,1,0,1,0,1,0,37,1,1,19,18,7,37,33.3,2,66.7,117,90,1,2,2,0,25,11,0,1,0,1,1,0,0,0,0,5,0,0,0,"CF","Attacker",8.47,"M",6.4,"FW",8.19
20,20,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","jamal musiala","/en/players/2c0558b8/Jamal-Musiala",42,"GER","LM",NA,"19-160",90,2,0,0,0,5,4,0,0,52,2,0,1,1.4,1.4,0.1,5,2,27,35,77.1,6,36,3,7,5,"Fußball-Bundesliga","M","GER","1st",2023,27,35,77.1,356,126,14,17,82.4,11,14,78.6,0,0,0,0.1,0.1,2,7,1,0,6,35,34,0,0,0,0,0,0,0,0,0,0,27,1,0,2,0,1,1,0,2,3,66.7,1,1,0,1,2,0,0,52,1,4,23,26,4,52,71.4,1,14.3,232,141,3,0,4,3,41,11,0,1,2,0,0,0,0,0,0,4,0,1,0,"LM","Midfielder",9.19,"M",9,"ML",9.51
21,21,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","marcel sabitzer","/en/players/e280527c/Marcel-Sabitzer",18,"AUT","CM",NA,"28-141",56,0,0,0,0,1,0,0,0,37,6,1,0,0.1,0.1,0,0,0,27,29,93.1,4,17,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,27,29,93.1,395,77,17,19,89.5,9,9,100,1,1,100,0,0,0,0,0,0,4,29,28,1,1,0,0,0,0,0,0,0,0,27,0,0,6,2,4,0,2,4,4,100,0,0,0,0,7,1,0,37,0,7,21,9,2,37,0,0,0,36,18,0,0,0,0,15,2,0,0,0,0,0,2,0,0,0,7,0,0,0,"CM","Midfielder",7.58,"M",7.4,"MC",7.58
22,22,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","ryan gravenberch","/en/players/b8e740fb/Ryan-Gravenberch",38,"NED","CM",NA,"20-081",34,0,0,0,0,1,0,0,0,34,0,0,1,0.1,0.1,0,2,0,29,31,93.5,0,23,1,1,1,"Fußball-Bundesliga","M","GER","1st",2023,29,31,93.5,359,60,20,22,90.9,8,8,100,0,0,0,0,0,0,2,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,34,0,4,25,7,0,34,100,0,0,77,41,2,0,1,0,28,1,0,0,0,0,0,0,0,0,0,3,0,0,0,"","Substitute",6.66,"M",6.6,"Sub",6.21
23,23,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","joshua kimmich","/en/players/49296448/Joshua-Kimmich",6,"GER","CM",NA,"27-178",90,1,0,0,0,2,2,0,0,95,2,2,0,0.1,0.1,0.1,5,1,71,86,82.6,13,54,1,0,0,"Fußball-Bundesliga","M","GER","1st",2023,71,86,82.6,1397,575,31,33,93.9,28,34,82.4,12,19,63.2,0.1,0.5,2,8,3,1,13,86,74,12,6,4,1,7,0,6,1,4,0,71,0,0,2,1,1,1,0,1,2,50,1,0,0,0,4,3,0,95,4,17,62,16,0,95,0,0,0,208,91,0,0,0,0,64,2,0,1,1,0,7,1,0,0,0,5,1,1,50,"CM","Midfielder",8.65,"M",8.5,"MC",9.24
24,24,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","thomas muller","/en/players/3c6089ab/Thomas-Muller",25,"GER","RM",NA,"32-326",64,0,2,0,0,3,0,0,0,44,0,0,1,1.2,1.2,1.3,6,4,25,36,69.4,2,30,3,0,0,"Fußball-Bundesliga","M","GER","1st",2023,25,36,69.4,342,96,15,16,93.8,9,15,60,0,2,0,1.3,0.9,3,3,0,0,2,36,34,1,0,2,0,1,1,0,0,0,0,25,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,44,0,4,15,25,6,44,0,0,0,80,43,0,1,1,1,34,9,0,0,1,0,1,0,0,0,0,4,0,0,0,"RM","Midfielder",8.59,"M",7.9,"MR",8.29
25,25,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","leroy sane","/en/players/2b114be3/Leroy-Sane",10,"GER","RM",NA,"26-206",26,0,1,0,0,1,0,0,0,18,0,0,0,0,0,0.3,2,1,13,15,86.7,2,10,0,1,1,"Fußball-Bundesliga","M","GER","1st",2023,13,15,86.7,150,29,11,13,84.6,2,2,100,0,0,0,0.3,0.4,1,0,2,0,2,15,15,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,8,9,1,18,100,0,0,34,11,0,0,2,0,15,2,0,1,1,0,0,0,0,0,0,0,0,0,0,"","Substitute",7.22,"M",7.3,"Sub",6.82
26,26,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","alphonso davies","/en/players/d781d855/Alphonso-Davies",19,"CAN","LB",NA,"21-276",90,0,0,0,0,0,0,0,0,73,2,3,2,0,0,0,1,0,49,54,90.7,3,51,3,6,1,"Fußball-Bundesliga","M","GER","1st",2023,49,54,90.7,865,150,26,27,96.3,17,20,85,6,6,100,0,0,0,2,0,0,3,54,50,4,0,0,0,0,4,0,0,0,0,49,0,0,2,1,2,0,0,2,2,100,0,2,0,2,5,1,0,73,3,18,47,11,0,73,16.7,4,66.7,361,190,4,0,2,2,48,2,0,0,1,0,0,1,0,0,0,7,0,1,0,"LB","Defender",7.07,"D",6.4,"DL",6.98
27,27,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","lucas hernandez","/en/players/c3ee18ef/Lucas-Hernandez",21,"FRA","CB",NA,"26-172",81,0,0,0,0,0,0,0,0,91,1,0,0,0,0,0.2,0,0,78,83,94,5,74,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,78,83,94,1555,590,21,23,91.3,47,48,97.9,9,10,90,0.2,0,1,2,0,0,5,83,82,0,0,0,2,0,0,0,0,0,0,78,1,0,1,0,1,0,0,1,1,100,0,0,0,0,1,6,0,91,10,43,46,2,1,91,0,0,0,281,177,0,0,0,0,75,0,0,2,1,0,0,0,0,0,0,6,0,0,0,"CB","Defender",7.18,"D",7,"DC",6.79
28,28,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","matthijs de ligt","/en/players/d6e53a3a/Matthijs-de-Ligt",4,"NED","CB",NA,"22-358",9,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,0,8,8,100,0,8,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,8,8,100,169,86,3,3,100,4,4,100,1,1,100,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,3,6,0,0,9,0,0,0,64,38,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","Substitute",NA,"D",6.6,"Sub",6.21
29,29,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","dayot upamecano","/en/players/d248cd8f/Dayot-Upamecano",2,"FRA","CB",NA,"23-282",90,0,0,0,0,0,0,0,0,107,5,0,0,0,0,0.1,1,0,85,97,87.6,6,76,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,85,97,87.6,1657,537,26,28,92.9,50,55,90.9,9,14,64.3,0.1,0.1,1,1,0,0,6,97,96,1,1,0,0,0,0,0,0,0,0,85,0,0,5,4,5,0,0,4,7,57.1,3,0,0,0,5,2,0,107,8,38,67,2,1,107,0,0,0,291,146,0,0,0,0,78,0,0,0,0,0,0,4,0,0,0,14,2,1,66.7,"CB","Defender",8.38,"D",7,"DC",7.52
